"L. de onda","Abs"
358.0,0.000
359.0,0.000
360.0,0.000
361.0,0.000
362.0,0.000
363.0,0.000
364.0,0.000
365.0,0.000
366.0,0.000
367.0,0.000
368.0,0.000
369.0,0.000
370.0,0.000
371.0,0.000
372.0,0.000
373.0,0.000
374.0,0.000
375.0,0.000
376.0,0.000
377.0,0.000
378.0,0.000
379.0,0.000
380.0,0.000
381.0,0.000
382.0,0.000
383.0,0.000
384.0,0.000
385.0,0.000
386.0,0.000
387.0,0.000
388.0,0.000
389.0,0.000
390.0,0.000
391.0,0.000
392.0,0.000
393.0,0.000
394.0,0.000
395.0,0.000
396.0,0.000
397.0,0.000
398.0,0.000
399.0,0.000
400.0,0.000
401.0,0.000
402.0,0.000
403.0,0.000
404.0,0.000
405.0,0.000
406.0,0.000
407.0,0.000
408.0,0.000
409.0,0.000
410.0,0.000
411.0,0.000
412.0,0.000
413.0,0.000
414.0,0.000
415.0,-0.001
416.0,0.000
417.0,0.000
418.0,0.000
419.0,0.000
420.0,0.000
421.0,0.000
422.0,0.000
423.0,0.000
424.0,0.000
425.0,0.000
426.0,0.000
427.0,0.000
428.0,0.000
429.0,0.000
430.0,0.000
431.0,0.000
432.0,0.000
433.0,0.000
434.0,0.000
435.0,0.000
436.0,0.000
437.0,0.000
438.0,0.000
439.0,0.000
440.0,0.000
441.0,0.000
442.0,0.000
443.0,0.000
444.0,0.000
445.0,0.000
446.0,0.000
447.0,0.000
448.0,0.000
449.0,0.000
450.0,0.000
451.0,0.000
452.0,0.000
453.0,0.000
454.0,0.000
455.0,0.000
456.0,0.000
457.0,0.000
458.0,0.000
459.0,0.000
460.0,0.000
461.0,0.000
462.0,0.000
463.0,0.000
464.0,0.000
465.0,0.000
466.0,0.000
467.0,0.000
468.0,0.000
469.0,0.000
470.0,0.000
471.0,0.000
472.0,0.000
473.0,0.000
474.0,0.000
475.0,0.000
476.0,0.000
477.0,0.000
478.0,0.000
479.0,0.000
480.0,0.000
481.0,0.000
482.0,0.000
483.0,0.000
484.0,0.000
485.0,0.000
486.0,0.000
487.0,0.000
488.0,0.000
489.0,0.000
490.0,0.000
491.0,0.000
492.0,0.000
493.0,0.000
494.0,0.000
495.0,0.000
496.0,0.000
497.0,0.000
498.0,0.000
499.0,0.000
500.0,0.000
501.0,0.000
502.0,0.000
503.0,0.000
504.0,0.000
505.0,0.000
506.0,0.000
507.0,0.000
508.0,0.000
509.0,0.000
510.0,0.000
511.0,0.000
512.0,0.000
513.0,0.000
514.0,0.000
515.0,0.000
516.0,0.000
517.0,0.000
518.0,0.000
519.0,0.000
520.0,0.000
521.0,0.000
522.0,0.000
523.0,0.000
524.0,0.000
525.0,0.000
526.0,0.000
527.0,0.000
528.0,0.000
529.0,0.000
530.0,0.000
531.0,0.000
532.0,0.000
533.0,0.000
534.0,0.000
535.0,0.000
536.0,0.000
537.0,0.000
538.0,0.000
539.0,0.000
540.0,0.000
541.0,0.000
542.0,0.000
543.0,0.000
544.0,0.000
545.0,0.000
546.0,0.000
547.0,0.000
548.0,-0.001
549.0,-0.001
550.0,0.000
551.0,-0.001
552.0,-0.001
553.0,-0.001
554.0,0.000
555.0,0.000
556.0,0.000
557.0,0.000
558.0,0.000
559.0,-0.001
560.0,-0.001
561.0,0.000
562.0,-0.001
563.0,-0.001
564.0,0.000
565.0,-0.001
566.0,0.000
567.0,0.000
568.0,-0.001
569.0,0.000
570.0,-0.001
571.0,0.000
572.0,0.000
573.0,0.000
574.0,-0.001
575.0,0.000
576.0,-0.001
577.0,-0.001
578.0,-0.001
579.0,0.000
580.0,0.000
581.0,-0.001
582.0,-0.001
583.0,-0.001
584.0,0.000
585.0,-0.001
586.0,-0.001
587.0,0.000
588.0,-0.001
589.0,-0.001
590.0,-0.001
591.0,0.000
592.0,-0.001
593.0,-0.001
594.0,-0.001
595.0,-0.001
596.0,-0.001
597.0,0.000
598.0,0.000
599.0,-0.001
600.0,-0.001
601.0,0.000
602.0,-0.001
603.0,-0.001
604.0,-0.001
605.0,-0.001
606.0,0.000
607.0,-0.001
608.0,-0.001
609.0,0.000
610.0,-0.001
611.0,-0.001
612.0,-0.001
613.0,0.000
614.0,-0.001
615.0,-0.001
616.0,-0.001
617.0,-0.001
618.0,-0.002
619.0,-0.001
620.0,0.000
621.0,-0.002
622.0,-0.001
623.0,0.000
624.0,-0.001
625.0,0.000
626.0,-0.001
627.0,0.000
628.0,-0.001
629.0,0.000
630.0,0.000
631.0,-0.001
632.0,-0.002
633.0,-0.001
634.0,-0.001
635.0,-0.001
636.0,-0.001
637.0,-0.001
638.0,-0.001
639.0,-0.001
640.0,-0.002
641.0,-0.001
642.0,-0.001
643.0,-0.001
644.0,-0.001
645.0,-0.001
646.0,-0.001
647.0,-0.001
648.0,-0.001
649.0,0.000
650.0,-0.001
651.0,-0.001
652.0,-0.001
653.0,-0.001
654.0,-0.002
655.0,0.000
656.0,-0.001
657.0,-0.001
658.0,0.000
659.0,-0.001
660.0,0.000
661.0,-0.001
662.0,-0.001
663.0,-0.001
664.0,-0.001
665.0,-0.001
666.0,-0.001
667.0,-0.001
668.0,-0.001
669.0,0.000
670.0,-0.001
671.0,-0.001
672.0,-0.001
673.0,-0.001
674.0,0.000
675.0,0.000
676.0,-0.001
677.0,0.000
678.0,-0.001
679.0,-0.001
680.0,-0.001
681.0,-0.001
682.0,-0.001
683.0,-0.001
684.0,-0.001
685.0,-0.001
686.0,-0.001
687.0,-0.001
688.0,-0.002
689.0,-0.001
690.0,-0.001
691.0,-0.001
692.0,-0.002
693.0,-0.001
694.0,-0.001
695.0,-0.001
696.0,-0.001
697.0,-0.001
698.0,-0.001
699.0,-0.001
700.0,0.000
